season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5,away_6,away_7,away_8
2014-15,2014-11-14,1472887,11.39453125,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,4,2,2,1831,Ohio Valley,2350,1150,0,Darryl Walker makes a layup.,made,FALSE,FALSE,Layup Shot,26,6.25,851029,Darryl Walker,NA,0,Ohio Valley,Middle Tennessee,6,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,11.39453125,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,4,2,2,1831,Ohio Valley,2350,1150,0,Darryl Walker makes a layup.,made,FALSE,FALSE,Layup Shot,26,6.25,851029,Darryl Walker,NA,0,Ohio Valley,Middle Tennessee,7,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,11.39453125,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,4,2,2,1831,Ohio Valley,2350,1150,0,Darryl Walker makes a layup.,made,FALSE,FALSE,Layup Shot,26,6.25,851029,Darryl Walker,NA,0,Ohio Valley,Middle Tennessee,8,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,14,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,4,2,2,1831,Ohio Valley,2330,1130,20,Shooting foul committed by Jerry Macon.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Middle Tennessee,Middle Tennessee,9,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,14.75,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,5,2,3,1500,Middle Tennessee,2330,1130,0,Reggie Upshaw makes free throw 1 of 2.,made,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Middle Tennessee,Middle Tennessee,9,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,14.875,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,6,2,4,1500,Middle Tennessee,2330,1130,0,Reggie Upshaw makes free throw 2 of 2.,made,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Middle Tennessee,Ohio Valley,9,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,15.9375,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,6,4,2,1831,Ohio Valley,2325,1125,5,Jerry Macon makes a jump shot from 13 feet out.,made,FALSE,FALSE,Jump Shot,20,17.25,504636,Jerry Macon,NA,0,Ohio Valley,Middle Tennessee,10,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,16.46875,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,6,4,2,1831,Ohio Valley,2325,1125,0,Markese Allen misses a layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,851019,Markese Allen,NA,0,Ohio Valley,Ohio Valley,11,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,16.46875,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,6,4,2,1831,Ohio Valley,2325,1125,0,Markese Allen misses a layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,851019,Markese Allen,NA,0,Ohio Valley,Middle Tennessee,11,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,16.46875,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,6,4,2,1831,Ohio Valley,2325,1125,0,Markese Allen misses a layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,851019,Markese Allen,NA,0,Ohio Valley,Ohio Valley,12,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,16.46875,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,6,4,2,1831,Ohio Valley,2325,1125,0,Markese Allen misses a layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,851019,Markese Allen,NA,0,Ohio Valley,Middle Tennessee,12,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,16.46875,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,6,4,2,1831,Ohio Valley,2325,1125,0,Markese Allen misses a layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,851019,Markese Allen,NA,0,Ohio Valley,Ohio Valley,13,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,16.46875,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,6,4,2,1831,Ohio Valley,2325,1125,0,Markese Allen misses a layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,851019,Markese Allen,NA,0,Ohio Valley,Middle Tennessee,13,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,16.46875,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,6,4,2,1831,Ohio Valley,2325,1125,0,Markese Allen misses a layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,851019,Markese Allen,NA,0,Ohio Valley,Ohio Valley,14,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,16.46875,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,6,4,2,1831,Ohio Valley,2325,1125,0,Markese Allen misses a layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,851019,Markese Allen,NA,0,Ohio Valley,Middle Tennessee,14,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,19.1171875,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,6,4,2,1831,Ohio Valley,2296,1096,29,Personal foul committed by Markese Allen.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Middle Tennessee,Middle Tennessee,15,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,19.1171875,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,6,4,2,1831,Ohio Valley,2296,1096,0,Personal foul committed by Markese Allen.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Middle Tennessee,Middle Tennessee,15,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,83.529296875,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,6,4,2,1831,Ohio Valley,2284,1084,12,Personal foul committed by Robert Smelser.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Middle Tennessee,Middle Tennessee,15,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,94.2646484375,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,7,4,3,1500,Middle Tennessee,2284,1084,0,Marcus Tarrance makes free throw 1 of 2.,made,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Middle Tennessee,Middle Tennessee,15,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,99.63232421875,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,7,4,3,1500,Middle Tennessee,2284,1084,0,Marcus Tarrance misses free throw 2 of 2.,missed,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Middle Tennessee,Ohio Valley,15,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,102.316162109375,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,7,4,3,1831,Ohio Valley,2271,1071,13,Jerry Macon misses a jump shot from 14 feet out.,missed,FALSE,FALSE,Jump Shot,37,13.25,504636,Jerry Macon,NA,0,Ohio Valley,Middle Tennessee,16,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,103.6580810546875,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,9,4,5,1500,Middle Tennessee,2260,1060,11,Reggie Upshaw dunks.,made,FALSE,FALSE,Dunk Shot,26,6.25,789535,Reggie Upshaw,NA,0,Middle Tennessee,Ohio Valley,17,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,104.32904052734375,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,9,4,5,1831,Ohio Valley,2245,1045,15,Personal foul committed by Jerry Macon.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Middle Tennessee,Middle Tennessee,18,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,104.66452026367188,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,9,4,5,1500,Middle Tennessee,2245,1045,0,Reggie Upshaw misses free throw 1 of 2.,missed,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Middle Tennessee,Middle Tennessee,18,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,104.83226013183594,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,10,4,6,1500,Middle Tennessee,2245,1045,0,Reggie Upshaw makes free throw 2 of 2.,made,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Middle Tennessee,Ohio Valley,18,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,104.91613006591797,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,10,6,4,1831,Ohio Valley,2218,1018,27,Darryl Walker makes a layup.,made,FALSE,FALSE,Layup Shot,26,6.25,851029,Darryl Walker,NA,0,Ohio Valley,Middle Tennessee,19,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,104.91613006591797,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,10,6,4,1831,Ohio Valley,2218,1018,0,Darryl Walker makes a layup.,made,FALSE,FALSE,Layup Shot,26,6.25,851029,Darryl Walker,NA,0,Ohio Valley,Middle Tennessee,20,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
2014-15,2014-11-14,1472887,104.91613006591797,0,1,Middle Tennessee,Ohio Valley,Blue Raiders,Fighting Scots,4,4,10,6,4,1831,Ohio Valley,2218,1018,0,Darryl Walker makes a layup.,made,FALSE,FALSE,Layup Shot,26,6.25,851029,Darryl Walker,NA,0,Ohio Valley,Middle Tennessee,21,NA,Jaqawn Raymond,Joshua Phillips,Marcus Tarrance,Reggie Upshaw Jr.,Giddy Potts,Jerry Macon,Shane Highman,Chris Hall,Avery Williams,Jaever Johnson,Avery Williams,Kyle Mitchell,Avery Williams
