season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5,away_6,away_7,away_8,away_9,away_10
2015-16,2015-11-29,1589164,12,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,2,0,2,5190,Texas-Permian Basin,2353,1153,0,Billy Dee Williams misses a 3-point jump shot from 24 feet out.,missed,FALSE,TRUE,Jump Shot,12.7,25.95,843802,Billy Dee Williams,NA,0,Texas-Permian Basin,Texas-Permian Basin,8,NA,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
2015-16,2015-11-29,1589164,12,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,2,0,2,5190,Texas-Permian Basin,2353,1153,0,Billy Dee Williams misses a 3-point jump shot from 24 feet out.,missed,FALSE,TRUE,Jump Shot,12.7,25.95,843802,Billy Dee Williams,NA,0,Texas-Permian Basin,UTSA,8,NA,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
2015-16,2015-11-29,1589164,12,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,2,0,2,5190,Texas-Permian Basin,2353,1153,0,Billy Dee Williams misses a 3-point jump shot from 24 feet out.,missed,FALSE,TRUE,Jump Shot,12.7,25.95,843802,Billy Dee Williams,NA,0,Texas-Permian Basin,Texas-Permian Basin,9,NA,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
2015-16,2015-11-29,1589164,12,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,2,0,2,5190,Texas-Permian Basin,2353,1153,0,Billy Dee Williams misses a 3-point jump shot from 24 feet out.,missed,FALSE,TRUE,Jump Shot,12.7,25.95,843802,Billy Dee Williams,NA,0,Texas-Permian Basin,UTSA,9,NA,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
2015-16,2015-11-29,1589164,15,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,4,0,4,1650,UTSA,2333,1133,20,Ryan Bowie makes a layup.,made,FALSE,FALSE,Layup Shot,25,5.25,847609,Ryan Bowie,NA,0,UTSA,Texas-Permian Basin,10,NA,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
2015-16,2015-11-29,1589164,18,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,4,0,4,1650,UTSA,2312,1112,21,Nick Allen misses a 3-point jump shot from 25 feet out.,missed,FALSE,TRUE,Jump Shot,38.9,26.25,896015,Nick Allen,NA,0,UTSA,Texas-Permian Basin,11,NA,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
2015-16,2015-11-29,1589164,21,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,4,0,4,5190,Texas-Permian Basin,2303,1103,9,Substitution: Aiden Saunders in for Codye Hatcher.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Sub already in game,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
2015-16,2015-11-29,1589164,21,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,4,0,4,5190,Texas-Permian Basin,2303,1103,0,Substitution: Aiden Saunders in for Codye Hatcher.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Sub already in game,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
2015-16,2015-11-29,1589164,24,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,4,0,4,5190,Texas-Permian Basin,2299,1099,4,Johnnie Lacy misses a 3-point jump shot from 26 feet out.,missed,FALSE,TRUE,Jump Shot,21.5,30.65,513552,Johnnie Lacy,NA,0,Texas-Permian Basin,Texas-Permian Basin,12,NA,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
2015-16,2015-11-29,1589164,24,0,1,UTSA,Texas-Permian Basin,Roadrunners,Falcons,4,4,4,0,4,5190,Texas-Permian Basin,2299,1099,4,Johnnie Lacy misses a 3-point jump shot from 26 feet out.,missed,FALSE,TRUE,Jump Shot,21.5,30.65,513552,Johnnie Lacy,NA,0,Texas-Permian Basin,UTSA,12,NA,Lucas O'Brien,Gino Littles,Austin Karrer,Ryan Bowie,Nick Allen,Johnnie Lacy,Aiden Saunders,Aiden Saunders,Billy Dee Williams,Aiden Saunders,Tramique Sutherland,Aiden Saunders,Gary Akbar,Aiden Saunders,Codye Hatcher
