season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5,away_6,away_7
2015-16,2015-12-30,1588671,26,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1909,Francis Marion,2252,1052,0,Detrek Browning with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,South Carolina,Francis Marion,10,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,27,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1909,Francis Marion,2236,1036,16,Laimonas Chatkevicius blocks a Judah Alexander jump shot from 8 feet out.,missed,FALSE,FALSE,Jump Shot,25.1,13.45,897410,Judah Alexander,NA,0,Francis Marion,Francis Marion,11,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,28,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1611,South Carolina,2236,1036,0,Laimonas Chatkevicius with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Francis Marion,South Carolina,11,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,29,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1611,South Carolina,2228,1028,8,Michael Carrera misses a layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,706554,Michael Carrera,NA,0,South Carolina,South Carolina,12,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,30,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,0,3,1909,Francis Marion,2228,1028,0,Detrek Browning with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,South Carolina,Francis Marion,12,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,31,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,2,1,1909,Francis Marion,2219,1019,9,Judah Alexander makes a layup. Detrek Browning with the assist.,made,FALSE,FALSE,Layup Shot,25,5.25,897410,Judah Alexander,Detrek Browning,0,Francis Marion,South Carolina,13,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,32,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,2,1,1611,South Carolina,2206,1006,13,Michael Carrera misses a 3-point jump shot from 24 feet out.,missed,FALSE,TRUE,Jump Shot,37.8,25.25,706554,Michael Carrera,NA,0,South Carolina,South Carolina,14,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,33,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,2,1,1909,Francis Marion,2206,1006,0,Nick Talko with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,South Carolina,Francis Marion,14,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,33,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,2,1,1909,Francis Marion,2206,1006,0,Nick Talko with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,South Carolina,Francis Marion,15,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,34,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,2,1,1909,Francis Marion,2195,995,11,Detrek Browning misses a 3-point jump shot from 24 feet out.,missed,FALSE,TRUE,Jump Shot,17.1,27.65,897406,Detrek Browning,NA,0,Francis Marion,Francis Marion,16,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,35,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,2,1,1611,South Carolina,2195,995,0,Michael Carrera with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Francis Marion,South Carolina,16,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,46,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,2,1,1909,Francis Marion,2180,980,15,Personal foul committed by Alex Bryant.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,South Carolina,South Carolina,17,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Judah Alexander,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,47,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,2,1,1909,Francis Marion,2180,980,0,Substitution: Mike Davis Jr. in for Judah Alexander.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Mike Davis Jr.,Alex Bryant,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,48,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,2,1,1909,Francis Marion,2180,980,0,Substitution: Kenneth Jackson in for Alex Bryant.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Mike Davis Jr.,Kenneth Jackson,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,48,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,2,1,1909,Francis Marion,2180,980,0,Substitution: Kenneth Jackson in for Alex Bryant.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Mike Davis Jr.,Kenneth Jackson,Alante Fenner,Brandon Parker,Alante Fenner,Nick Talko
2015-16,2015-12-30,1588671,49,0,1,South Carolina,Francis Marion,Gamecocks,Patriots,4,4,3,2,1,1909,Francis Marion,2180,980,0,Substitution: David Jerome in for Brandon Parker.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Michael Carrera,Laimonas Chatkevicius,Mindaugas Kacinas,Sindarius Thornwell,PJ Dozier,Detrek Browning,Mike Davis Jr.,Kenneth Jackson,Alante Fenner,David Jerome,Alante Fenner,Nick Talko
