season,start_time,game_date,game_id,tv,home,away,home_abbr,home_id,home_logo_id,home_name,home_total,home_is_winner,home_ap_ranking,home_record,away_abbr,away_id,away_is_winner,away_logo_id,away_name,away_total,away_record,away_ap_ranking
2023-24,7:48 PM ET,2023-11-06,2592347,NA,Fordham,Wagner,Ford,1411,FordhamRams,Rams,68,TRUE,NA,1-0,Wagner,1682,NA,WagnerSeahawks,Seahawks,64,0-1,NA
2023-24,10:30 PM ET,2023-11-06,2601652,NA,Fresno State,Fresno Pacific,Fres,1412,FresnoStateBulldogs,Bulldogs,77,TRUE,NA,1-0,FrePac,1751,NA,FresnoPacificSunbirds,Sunbirds,66,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2601843,NA,Furman,North Greenville,Furman,1414,FurmanPaladins,Paladins,84,TRUE,NA,1-0,NorGre,1790,NA,NorthGreenvilleCrusaders,Crusaders,68,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2602685,NA,Gardner-Webb,Erskine,G-Webb,1820,GardnerWebbRunninBulldogs,Runnin' Bulldogs,98,TRUE,NA,1-0,Erskin,1399,NA,ErskineFlyingFleet,Flying Fleet,58,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2594922,NA,George Mason,Monmouth,GMason,1418,GeorgeMasonPatriots,Patriots,72,TRUE,NA,1-0,Monm,1509,NA,MonmouthHawks,Hawks,61,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2589887,NA,George Washington,Stonehill,GW,1417,GeorgeWashingtonRevolutionaries,Revolutionaries,89,TRUE,NA,1-0,Stoneh,5221,NA,StonehillSkyhawks,Skyhawks,44,0-1,NA
2023-24,4:30 PM ET,2023-11-06,2588278,TRU,Oregon,Georgia,Oregon,1562,OregonDucks,Ducks,82,TRUE,NA,1-0,UGa,1420,NA,GeorgiaBulldogs,Bulldogs,71,0-1,NA
2023-24,7:30 PM ET,2023-11-06,2606389,ESP+,Georgia Tech,Georgia Southern,GaTech,1422,GeorgiaTechYellowJackets,Yellow Jackets,84,TRUE,NA,1-0,GaSo,1416,NA,GeorgiaSouthernEagles,Eagles,62,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2608089,NA,Grambling State,UNT Dallas,Gram,1424,GramblingStateTigers,Tigers,82,TRUE,NA,1-0,UNTDal,43053,NA,UNTDallasTrailblazers,Trailblazers,67,0-1,NA
2023-24,9:00 PM ET,2023-11-06,2590375,NA,Grand Canyon,Southeast Missouri State,GraCan,1426,GrandCanyonAntelopes,Antelopes,88,TRUE,NA,1-0,SEMO,1600,NA,SoutheastMissouriStateRedhawks,Redhawks,67,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2573113,ESP+,Iowa State,Green Bay,IaSt,1450,IowaStateCyclones,Cyclones,85,TRUE,NA,1-0,WI-GB,1701,NA,GreenBayPhoenix,Phoenix,44,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2608757,NA,Howard,Hampton,Howard,1438,HowardBison,Bison,92,TRUE,NA,1-0,Hamp,1719,NA,HamptonPirates,Pirates,80,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2590233,ESP+,Harvard,Massachusetts-Boston,Harv,1431,HarvardCrimson,Crimson,78,TRUE,NA,1-0,MA-Bos,5464,NA,MassachusettsBostonBeacons,Beacons,50,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2600057,NA,High Point,St. Andrews Presbyterian,HighPt,1884,HighPointPanthers,Panthers,105,TRUE,NA,1-0,StAnPr,1614,NA,StAndrewsPresbyterianKnights,Knights,51,0-1,NA
2023-24,11:30 AM ET,2023-11-06,2608699,NA,Hofstra,St. Joseph's (NY-Long Island),Hof,1434,HofstraPride,Pride,101,TRUE,NA,1-0,StJoLI,5534,NA,StJosephsNYLongIslandGoldenEagles,Golden Eagles,48,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2593191,NA,Siena,Holy Cross,Siena,1602,SienaSaints,Saints,73,TRUE,NA,1-0,HolyCr,1435,NA,HolyCrossCrusaders,Crusaders,71,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2576587,ESP+,Houston,ULM,Hou,1436,HoustonCougars,Cougars,84,TRUE,7,1-0,UL-Mon,1526,NA,ULMWarhawks,Warhawks,31,0-1,NA
2023-24,11:00 PM ET,2023-11-06,2587511,NA,Washington State,Idaho,WashSt,1686,WashingtonStateCougars,Cougars,84,TRUE,NA,1-0,Idaho,1441,NA,IdahoVandals,Vandals,59,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2594945,NA,Idaho State,Warner Pacific,IdaSt,1442,IdahoStateBengals,Bengals,92,TRUE,NA,1-0,WarPac,2063,NA,WarnerPacificKnights,Knights,36,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2590293,NA,Illinois State,Lourdes,IllSt,1445,IllinoisStateRedbirds,Redbirds,75,TRUE,NA,1-0,Lour,29023,NA,LourdesGrayWolves,Gray Wolves,56,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2595007,NA,Indiana State,Saint Mary-of-the-Woods,InSt,1447,IndianaStateSycamores,Sycamores,90,TRUE,NA,1-0,StMotW,42820,NA,SaintMaryoftheWoodsPomeroys,Pomeroys,60,0-1,NA
2023-24,11:00 AM ET,2023-11-06,2593027,NA,IUPUI,Spalding,IUPUI,1862,IUPUIJaguars,Jaguars,70,TRUE,NA,1-0,Spaldi,1971,NA,SpaldingGoldenEagles,Golden Eagles,63,0-1,NA
2023-24,8:00 PM ET,2023-11-06,2589179,ESP+,Memphis,Jackson State,Mem,1493,MemphisTigers,Tigers,94,TRUE,NA,1-0,JkSt,1452,NA,JacksonStateTigers,Tigers,77,0-1,NA
2023-24,7:00 PM ET,2023-11-06,2602010,NA,Jacksonville,Johnson (FL),Jac,1453,JacksonvilleDolphins,Dolphins,113,TRUE,NA,1-0,FloChr,5658,NA,JohnsonFLSuns,Suns,46,0-1,NA
2023-24,8:30 PM ET,2023-11-06,2602171,BTN,Michigan State,James Madison,MSU,1499,MichiganStateSpartans,Spartans,76,NA,4,0-1,JMU,1454,TRUE,JamesMadisonDukes,Dukes,79,1-0,NA
2023-24,8:00 PM ET,2023-11-06,2572320,ESP+,Kansas,North Carolina Central,Kansas,1456,KansasJayhawks,Jayhawks,99,TRUE,1,1-0,NCCent,1783,NA,NorthCarolinaCentralEagles,Eagles,56,0-1,NA
